Nation,Population,Exists,First_App,Medal,S_Medal,W_Medal,Appearances (Total),Medals (Total),Gold,Silver,Bronze,Appearances (Summer),Medals (Summer),SO_Gold,SO_Silver,SO_Bronze,Appearances (Winter),Medals (Winter),WO_Gold,WO_Silver,WO_Bronze,MostSuccessfulSport,Medals,Golds,Silvers,Bronzes,id,Hosts (Total),Hosts (Summer),Hosts (Winter),HostInfo,RecordsM,RecordsW,Flag,Medals (Per capita),Aeronautics,Alpine Skiing,Alpinism,Archery,Art Competitions,Athletics,Badminton,Baseball,Basketball,Basque Pelota,Beach Volleyball,Biathlon,Bobsleigh,Boxing,Canoeing,Cricket,Croquet,Cross Country Skiing,Curling,Cycling,Diving,Equestrianism,Fencing,Figure Skating,Football,Freestyle Skiing,Golf,Gymnastics,Handball,Hockey,Ice Hockey,Jeu De Paume,Judo,Lacrosse,Luge,Military Ski Patrol,Modern Pentathlon,Motorboating,Nordic Combined,Polo,Racquets,Rhythmic Gymnastics,Roque,Rowing,Rugby,Rugby Sevens,Sailing,Shooting,Short Track Speed Skating,Skeleton,Ski Jumping,Snowboarding,Softball,Speed Skating,Swimming,Synchronized Swimming,Table Tennis,Taekwondo,Tennis,Trampolining,Triathlon,Tug-Of-War,Volleyball,Water Polo,Weightlifting,Wrestling
South Africa,56717156,YES,1904,3.31,4.53,0.00,26,89,27,33,29,19,89,27,33,29,7,0,0,0,0,Athletics,29,9,13,7,ZAF,0,0,0,,"400 meters:, Wayde van Niekerk 43.03 sec",,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg,1.57,0,0,0,0,2,31,0,0,0,0,0,0,0,19,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,5,0,0,0,0,0,0,27,0,0,0,8,0,1,0,0,0,0,0
Soviet Union,293000000,NO,1952,66.89,112.22,21.56,18,1204,473,376,355,9,1010,395,319,296,9,194,78,57,59,Gymnastics,184,73,67,44,XSU,0,0,0,,,,,4.11,0,1,0,7,0,242,0,0,146,0,0,37,8,51,87,0,0,111,0,53,14,29,146,44,87,0,0,288,84,32,168,0,23,0,7,0,27,0,3,0,0,2,0,155,0,0,20,49,0,0,1,0,0,60,124,0,0,0,0,0,0,0,141,78,62,116
Spain,46354321,YES,1900,3.58,6.52,0.20,43,171,49,72,50,23,167,48,72,47,20,4,1,0,3,Sailing,19,13,5,1,ESP,1,1,0,1992 Summer Olympics (Barcelona),,,https://upload.wikimedia.org/wikipedia/en/9/9a/Flag_of_Spain.svg,3.69,0,2,0,3,0,14,1,0,60,2,2,0,0,4,24,0,0,0,0,19,0,11,1,0,52,0,0,4,60,77,0,0,6,0,0,0,0,0,0,5,0,12,0,2,0,0,33,3,0,0,0,0,0,0,8,20,0,6,19,0,1,0,0,36,1,1
Sri Lanka,20876917,YES,1948,0.12,0.12,0.00,17,2,0,2,0,17,2,0,2,0,0,0,0,0,0,Athletics,2,0,2,0,LKA,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Sri_Lanka.svg,0.10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,40533330,YES,1960,0.08,0.08,0.00,12,1,0,1,0,12,1,0,1,0,0,0,0,0,0,Athletics,1,0,1,0,SDN,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Sudan.svg,0.02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sudan, South",12230730,YES,2016,0.00,0.00,0.00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,0,0,0,0,SSD,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/7/7a/Flag_of_South_Sudan.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,563402,YES,1960,0.17,0.17,0.00,12,2,1,0,1,12,2,1,0,1,0,0,0,0,0,Swimming,2,1,0,1,SUR,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/6/60/Flag_of_Suriname.svg,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Swaziland,1367254,YES,1972,0.00,0.00,0.00,11,0,0,0,0,10,0,0,0,0,1,0,0,0,0,-,0,0,0,0,SWZ,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,9910701,YES,1896,13.04,18.30,6.87,50,661,205,222,234,27,503,148,176,179,23,158,57,46,55,Cross country skiing,80,31,25,24,SWE,1,1,0,1912 Summer Olympics (Stockholm),,,https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,66.70,0,16,0,2,4,128,0,0,0,0,0,16,0,11,57,0,0,123,29,48,21,85,26,10,60,2,1,103,61,0,217,0,0,0,0,0,25,0,2,0,0,0,0,10,0,0,113,126,0,0,2,1,0,16,70,0,3,0,14,0,1,19,0,24,4,86
Switzerland,8476005,YES,1896,6.76,6.86,6.65,51,358,109,124,125,28,205,53,79,73,23,153,56,45,52,Alpine skiing,66,22,22,22,CHE,2,0,2,"1928 Winter Olympics (St. Moritz), 1948 Winter Olympics (St. Moritz)",,,https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,42.24,1,59,2,0,9,8,0,0,0,0,2,1,92,0,4,0,0,13,23,26,0,50,23,3,15,4,0,84,17,0,48,0,4,0,0,4,0,0,8,0,0,0,0,75,0,0,12,53,0,3,5,12,0,0,1,0,0,0,6,0,5,0,0,0,4,15
Syria,18269868,YES,1948,0.23,0.23,0.00,13,4,1,1,2,13,4,1,1,2,0,0,0,0,0,Athletics,1,1,0,0,SYR,0,0,0,,,,,0.22,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tajikistan,8921343,YES,1996,0.40,0.67,0.00,10,4,1,1,2,6,4,1,1,2,4,0,0,0,0,Athletics,1,1,0,0,TJK,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Tajikistan.svg,0.45,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tanzania,57310019,YES,1964,0.15,0.15,0.00,13,2,0,2,0,13,2,0,2,0,0,0,0,0,0,Athletics,2,0,2,0,TZA,0,0,0,,,,,0.03,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,69037513,YES,1952,1.65,2.06,0.00,20,35,10,8,17,16,35,10,8,17,4,0,0,0,0,Weightlifting,14,5,2,7,THA,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_Thailand.svg,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,0
The Gambia,2100568,YES,1984,0.00,0.00,0.00,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,-,0,0,0,0,GMB,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,7797694,YES,1972,0.08,0.10,0.00,12,1,0,0,1,10,1,0,0,1,2,0,0,0,0,Canoeing,1,0,0,1,TGO,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/6/68/Flag_of_Togo.svg,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,108020,YES,1984,0.09,0.11,0.00,11,1,0,1,0,9,1,0,1,0,2,0,0,0,0,Boxing,1,0,1,0,TON,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Tonga.svg,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,1369125,YES,1948,0.95,1.12,0.00,20,19,3,5,11,17,19,3,5,11,3,0,0,0,0,Athletics,15,3,4,8,TTO,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Trinidad_and_Tobago.svg,13.88,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
Tunisia,11532127,YES,1960,0.93,0.93,0.00,14,15,5,3,7,14,15,5,3,7,0,0,0,0,0,Athletics,5,2,2,1,TUN,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg,1.30,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1
Turkey,80745020,YES,1908,2.33,4.14,0.00,39,104,41,26,37,22,104,41,26,37,17,0,0,0,0,Wrestling,63,29,18,16,TUR,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg,1.29,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,12,63
Turkmenistan,5758075,YES,1966,0.00,0.00,0.00,6,1,0,1,0,6,1,0,1,0,0,0,0,0,0,-,0,0,0,0,TKM,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Turkmenistan.svg,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,11192,YES,2008,0.00,0.00,0.00,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-,0,0,0,0,TUV,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Tuvalu.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,42862958,YES,1956,0.47,0.47,0.00,15,11,4,4,3,15,11,4,4,3,0,0,0,0,0,Athletics,3,2,0,1,UGA,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/4/4e/Flag_of_Uganda.svg,0.26,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,44222947,YES,1994,9.92,20.17,1.14,13,148,39,37,72,6,140,36,36,68,7,8,3,1,4,Gymnastics,19,7,4,8,UKR,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg,3.35,0,0,0,8,0,21,0,0,0,0,0,8,0,14,12,0,0,0,0,6,4,0,12,3,0,0,0,23,15,0,0,0,3,0,0,0,2,0,0,0,0,5,0,12,0,0,11,8,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,8,15
Unified Team,0,NO,1992,67.50,112.00,23.00,2,135,54,44,37,1,112,45,38,29,1,23,9,6,8,Artistic gymnastics,18,9,5,4,XUT,0,0,0,,,,,0.00,0,0,0,4,0,29,0,0,12,0,0,11,0,2,3,0,0,12,0,0,3,0,13,9,0,1,0,28,25,0,22,0,4,0,0,0,4,0,0,0,0,2,0,4,0,0,0,8,4,0,0,0,0,0,30,0,0,0,3,0,0,0,8,13,9,16
United Arab Emirates,9400145,YES,1984,0.22,0.22,0.00,9,2,1,0,1,9,2,1,0,1,0,0,0,0,0,Shooting,1,1,0,0,ARE,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Flag_of_the_United_Arab_Emirates.svg,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,324459463,YES,1896,56.54,93.41,13.26,50,2940,1166,948,826,27,2635,1061,836,738,23,305,105,112,88,Athletics,802,335,260,207,USA,8,4,4,"1904 Summer Olympics (St. Louis), 1932 Winter Olympics (Lake Placid), 1932 Summer Olympics (Los Angeles), 1960 Winter Olympics (Squaw Valley), 1980 Winter Olympics (Lake Placid), 1984 Summer Olympics (Los Angeles), 1996 Summer Olympics (Atlanta), 2002 Winter Olympics (Salt Lake City)","4x400 m relay:, LaShawn Merritt, Angelo Taulor, David Neville, Jeremy Wariner 2:55.39 min, High jump:, Charles Austin 2.39 m, Long jump:, Bob Beamon 8.90 m, Triple jump:, Kenny Harrison 18.09 m, Shot put:, Ryan Crouser 23.30 m","200 meters:, Florence Griffith Joyner 21.34 sec, 400 meters hurdles:, Sydney McLaughlin 51.46 sec, 4x100 m relay:, Tianna Madison, Allyson Felix, Bianca Knight, Carmelita Jeter 40.82 sec, Long jump:, Jackie Joyner-Kersee 7.40 m, Hepathlon:, Jackie Joyner-Kersee 7291 pts",https://upload.wikimedia.org/wikipedia/en/a/a4/Flag_of_the_United_States.svg,9.06,0,44,0,57,9,1080,0,68,341,0,20,0,74,113,21,0,0,1,4,78,140,132,69,66,102,21,38,194,0,30,276,1,14,12,9,0,17,0,7,12,0,0,3,375,36,0,140,193,42,8,1,24,60,70,1078,30,0,9,62,0,2,14,120,150,42,128
Uruguay,3456750,YES,1924,0.45,0.48,0.00,22,10,2,2,6,21,10,2,2,6,1,0,0,0,0,Football,2,2,0,0,URY,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Uruguay.svg,2.89,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,31910641,YES,1994,2.46,5.17,0.14,13,37,12,6,19,6,36,11,6,19,7,1,1,0,0,Boxing,14,4,2,8,UZB,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Uzbekistan.svg,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10
Vanuatu,276244,YES,1988,0.00,0.00,0.00,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,-,0,0,0,0,VUT,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Vanuatu.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,31977065,YES,1948,0.68,0.83,0.00,22,19,3,7,9,18,19,3,7,9,4,0,0,0,0,Boxing,6,1,3,2,VEN,0,0,0,,,"Triple jump:, Yulimar Rojas 15.67 m",,0.59,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0
Vietnam,95540800,YES,1952,0.27,0.27,0.00,15,4,1,3,0,15,4,1,3,0,0,0,0,0,0,Shooting,2,1,1,0,VNM,0,0,0,,,,,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Virgin Islands,104901,YES,1968,0.05,0.08,0.00,19,1,0,1,0,12,1,0,1,0,7,0,0,0,0,Sailing,1,0,1,0,VIR,0,0,0,,,,,9.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,28250420,YES,1992,0.00,0.00,0.00,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,-,0,0,0,0,YEM,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Yemen.svg,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Yemen,7160981,NO,1984,0.00,0.00,0.00,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-,0,0,0,0,XNY,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Yemen,2585484,NO,1988,0.00,0.00,0.00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,0,0,0,0,XSY,0,0,0,,,,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yugoslavia,23230000,NO,1920,3.13,5.63,0.29,30,94,28,34,32,16,90,28,31,31,14,4,0,3,1,Wrestling,16,4,6,6,XYS,0,0,0,,,,,4.05,0,2,0,0,0,2,0,0,84,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,73,0,0,18,72,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,5,0,0,0,2,0,4,0,0,0,0,0,0,76,0,16
Zambia,17094130,YES,1964,0.15,0.15,0.00,13,2,0,1,1,13,2,0,1,1,0,0,0,0,0,Athletics,1,0,1,0,ZMB,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/0/06/Flag_of_Zambia.svg,0.12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,16529904,YES,1928,0.57,0.62,0.00,14,8,3,4,1,13,8,3,4,1,1,0,0,0,0,Swimming,7,2,4,1,ZWE,0,0,0,,,,https://upload.wikimedia.org/wikipedia/commons/6/6a/Flag_of_Zimbabwe.svg,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
